id,name,city_name,address,city_id,slug,latitude,longitude,is_open,usd,cash_in,is_nfc,is_digital,payment_terminal,working_weekends,working_hours,notes
378,Şirvan şəhər filialı,Şirvan,"Şirvan şəhəri, M. Ə. Rəsulzadə küçəsi 1",62,shirvan-filiali-635,39.95255058598073,48.944077896131084,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,16:30-dan sonra yalnız rəqəmsal əməliyyatlar
876,Tovuz filialı,Tovuz,"Tovuz şəhəri, Sabir küçəsi 19",64,tovuz-filiali-675,40.992073705598344,45.61739874340583,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
913,Tovuz şöbəsi,Tovuz,"Tovuz şəhəri, Aşağı quşçu kəndi inzibati ərazi idarəsi, ASAN xidmət daxilində",64,tovuz-shobesi,40.98150835610008,45.65759597834275,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: 09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00); Sun: 09:00-16:30 (Müştərilərə xidmət vaxtı 09:00-16:00),
381,Tərtər filialı,Tərtər,"Tərtər şəhəri, E.Hüseynov küçəsi 9",63,terter-filiali-640,40.342265529585035,46.930119220173864,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
871,Ucar rayon filialı,Ucar,"Ucar şəhəri, Oğuz küç., 44.",65,ucar-filiali-670,40.509685698832925,47.65437766144721,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
870,Yardımlı filialı,Yardımlı,"Yardımlı şəhəri, H. Əliyev prospekti 41",66,yardimli-filiali-668,38.9033775,48.2338562,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
874,Yevlax filialı,Yevlax,"Yevlax şəhəri, H.Əliyev prospekti 20",67,yevlax-filiali-673,40.616462257939624,47.147917265580915,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
352,Zaqatala filialı,Zaqatala,"Zaqatala şəhəri, H.Əliyev pr.169",68,zaqatala-filiali-633,41.63048189140788,46.63924008209484,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
382,Zərdab filialı,Zərdab,"Zərdab şəhəri,H.Əliyev pr. 17",69,zerdab-filiali-641,40.22066202323987,47.71016726963062,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
1384,Zəngilan filialı,Zəngilan,"Zəngilan rayonu, Ağalı kəndi",72,zengilan-filiali,39.17812144783559,46.75868073243745,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
1425,Xankəndi filialı,Xankəndi,Xankəndi şəhəri,80,khankendi-filiali,39.816888038836915,46.75264988079478,1,0,0,0,0,0,0,Mon-Fri: 09:00-18:00 (Müştərilərə xidmət vaxtı 09:00-17:00); Sat: qeyri-iş günü; Sun: qeyri-iş günü,
