bank_name,lat,long
AccessBank,40.979346149539,45.624428658896
AccessBank,39.205344326425,45.423640886161
AccessBank,40.968144,47.837952
AccessBank,40.388071578142,49.826354159796
AccessBank,40.394848,49.950564
AccessBank,41.705152080647,46.425973572499
AccessBank,40.393512,49.840508
AccessBank,40.371467,49.839688
AccessBank,40.428143,49.956989
AccessBank,40.487948,50.137836
AccessBank,40.576965,49.681808
AccessBank,40.453331,49.747776
AccessBank,40.345715,49.81048
AccessBank,40.374424,49.953167
AccessBank,40.424258033839,49.842556948165
AccessBank,40.320572,49.728274
AccessBank,40.401684,49.868749
AccessBank,40.377502630476,49.856264425574
AccessBank,40.67315,46.356432
AccessBank,41.169991,47.166674
AccessBank,40.83062484614,46.021995219146
AccessBank,38.752693,48.850306
AccessBank,40.601600646973,46.778533935547
AccessBank,41.090578,45.361069
AccessBank,40.7714,47.043506
AccessBank,39.21518,48.523298
AccessBank,40.650749,47.739346
AccessBank,41.628987,46.634545
AccessBank,39.589599,48.974846
AccessBank,40.384677,47.12562
AccessBank,40.790117,48.153693
AccessBank,40.004967,48.470579
AccessBank,41.705227,46.42614
AccessBank,39.027458190918,48.664562225342
AccessBank,40.039993790212,47.452792937654
ABB Bank,40.644077,47.475788
ABB Bank,40.377341,49.849451
ABB Bank,40.37817041786809,49.95578483152176
ABB Bank,41.212433,48.986492
ABB Bank,40.37918,49.87869
ABB Bank,40.649455,47.748114
ABB Bank,41.471161,48.809338
ABB Bank,40.343666,48.157539
ABB Bank,41.6288793,46.6413267
ABB Bank,41.0899,45.35891
ABB Bank,41.363458,48.522153
ABB Bank,39.21255,45.40795
ABB Bank,39.937862321630135,48.36398497221913
ABB Bank,39.605377,48.985332
ABB Bank,40.63248586370292,48.63315617164039
ABB Bank,40.613266,47.14846
ABB Bank,40.76657397925422,47.058333177765526
ABB Bank,39.035248,48.668652
ABB Bank,40.455276,50.337276
ABB Bank,40.372036,49.836678
ABB Bank,40.977936,47.846554
ABB Bank,40.2183625883016,47.70675685132114
ABB Bank,39.455777,48.545321
ABB Bank,40.5884722,46.3177778
ABB Bank,40.3807175,49.8634624
ABB Bank,40.411571546396864,49.94276698592201
ABB Bank,40.524254,46.080952
ABB Bank,40.051826247641216,47.444376604761956
ABB Bank,40.787579,48.146694
ABB Bank,40.567467,48.402222
ABB Bank,41.419292,46.921598
ABB Bank,41.719612,46.415669
ABB Bank,41.07514,47.466616
ABB Bank,40.992667,45.616973
ABB Bank,41.111888,45.440918
ABB Bank,40.525566,45.812313
ABB Bank,40.372044,47.126541
ABB Bank,40.339886,46.932442
ABB Bank,41.075969,49.113477
ABB Bank,40.509697,47.65937
ABB Bank,40.031333,48.935333
ABB Bank,39.844395,47.986908
ABB Bank,40.37400208633886,49.819266096084036
ABB Bank,39.81634804205688,46.75202130372225
ABB Bank,40.465714,50.052151
ABB Bank,40.580589,49.68178
ABB Bank,40.425592,49.842635
ABB Bank,40.4129563,49.853611
ABB Bank,40.3488352,49.8360056
ABB Bank,40.430256,49.986922
ABB Bank,40.570368,49.690033
ABB Bank,40.4486008,49.7500943
ABB Bank,40.68052,46.3581
ABB Bank,40.403295,49.854145
ABB Bank,38.753909,48.855414
ABB Bank,40.487396,50.161011
ABB Bank,41.205125,47.177632
ABB Bank,40.830095,46.020204
ABB Bank,40.593892,49.678295
ABB Bank,40.389328,49.882416
ABB Bank,40.3740776,49.84202332
ABB Bank,40.41462226848478,49.967489938970196
ABB Bank,40.591567,49.988025
ABB Bank,39.76091782602176,46.752719002683264
ABB Bank,40.419455,49.933968
ABB Bank,40.4022,49.873241
ABB Bank,40.424931,49.959164
ABB Bank,39.21406737446153,48.51125596131286
ABB Bank,40.397069,49.801439
ABB Bank,40.605344,46.785962
ABB Bank,40.369698,49.839626
ABB Bank,40.41774427731688,49.90836859799611
ABB Bank,40.675659,46.358486
ABB Bank,40.384804,49.954494
ABB Bank,40.76610830204269,46.40579481564623
ABB Bank,39.95402882632821,48.945258472048444
ABB Bank,40.407242,49.811661
ABB Bank,40.38482785304,49.828788381791185
ASB Bank,40.3987232,50.0824759
ASB Bank,40.427589416503906,49.885231018066406
ASB Bank,40.371098,49.850102
ASB Bank,40.4092687,49.893422
ASB Bank,40.58595275878906,49.67038345336914
ASB Bank,39.8650742,48.0611116
ASB Bank,40.6715341,46.3577558
Bank of Baku,40.410909190208585,49.84899229999999
Bank of Baku,40.414562268583346,49.94297659678542
Bank of Baku,40.41535440007173,49.96787910204588
Bank of Baku,40.412308,49.847298
Bank of Baku,40.370814492074324,49.834230983691604
Bank of Baku,40.37779443897376,49.853203244992976
Bank of Baku,40.360344775965444,49.8335178898477
Bank of Baku,40.38978320569834,49.95439402423299
Bank of Baku,40.49369490219319,50.13356273593928
Bank of Baku,40.40996629681911,49.809954541966285
Bank of Baku,40.37384233335939,49.952664355645965
Bank of Baku,40.38212403669002,49.807239385020075
Bank of Baku,40.454558318339004,49.745618638131226
Bank of Baku,40.3921077465421,49.80310044862566
Bank of Baku,40.867902571317,46.41287792657992
Bank of Baku,38.825092938301424,48.84280598984695
Bank of Baku,40.579146569610124,49.683207393762885
Bank of Baku,41.26543805976766,47.15928485599611
Bank of Baku,39.99749597404446,48.95396099146083
Bank of Baku,41.502652022862655,48.79736229782541
Bank of Baku,40.40258914563596,49.873939063922016
Bank Respublika,40.6420662,47.7451923
Bank Respublika,39.7701636,47.6137369
Bank Respublika,40.9750481,47.8414498
Bank Respublika,39.599480,47.150647
Bank Respublika,41.2115133,48.9578668
Bank Respublika,40.330608,49.7836361
Bank Respublika,41.0905398,45.3607516
Bank Respublika,40.4130419,49.8535906
Bank Respublika,40.0446243,47.4536638
Bank Respublika,39.219181,45.407553
Bank Respublika,40.4551122,49.7381697
Bank Respublika,41.2023238,47.1765699
