address,branch_code,coordinates_id,createdAt,director,documentId,filter_tags,has_safe_box,has_weekend_hours,id,latitude,locale,longitude,nearby_metro,phone_numbers,publishedAt,title,updatedAt,work_time
"Qax şəhəri, H.Əliyev prosp. 52D",344,642,2025-03-06T06:13:39.770Z,Vüqar Mütəllibov,mpb8hdu2bapt6zdtrwde9dra,,False,False,474,41.419292,az,46.921598,,(+994 12) 493 00 91 |  937 |  (+994 24) 255 41 05,2025-03-06T06:13:39.797Z,Qax filialı,2025-03-06T06:13:40.761Z,Bazar ertəsi – Cümə: 09:00 -17:00
"Balakən şəhəri, Heydər Əliyev prospekti 254 B",345,652,2025-03-06T06:13:41.460Z,Tale Osmanov,c1qv303dfawfh5cc9vw7ql8r,,False,False,480,41.719612,az,46.415669,,(+994 12) 493 00 91 |  937,2025-03-06T06:13:41.472Z,Balakən filialı,2025-03-06T06:13:42.455Z,Bazar ertəsi – Cümə: 09:00 - 17:00
"Oğuz, H.Əliyev küçəsi 98",338,661,2025-03-06T06:13:43.552Z,Ruslan Həbibullayev,xbdkkncbo74fjd0vhuy897wt,,False,False,486,41.07514,az,47.466616,,(+994 12) 493 00 91 |  937,2025-03-06T06:13:43.567Z,Oğuz filialı,2025-03-06T06:13:44.467Z,Bazar ertəsi – Cümə: 09:00 -17:00
"Tovuz, Sabir küçəsi 13",339,669,2025-03-06T06:13:45.217Z,Ramil Əliyev,w8ppew0qwax054tay1rm70py,,False,False,492,40.992667,az,45.616973,,(+994 12) 493 00 91 |  937 |  (+994 22) 315 03 12,2025-03-06T06:13:45.266Z,Tovuz filialı,2025-03-06T06:13:46.351Z,Bazar ertəsi – Cümə: 09:00 - 17:00 | Şənbə: 10:00 - 14:00
"Ağstafa şəhəri, Heydər Əliyev küçəsi 47B",340,678,2025-03-06T06:13:47.125Z,Samir Abbasov,ymlztg837ccr8qyk8dgsjddo,,False,False,498,41.111888,az,45.440918,,(+994 12) 493 00 91 |  937,2025-03-06T06:13:47.139Z,Ağstafa filialı,2025-03-06T06:13:48.068Z,Bazar ertəsi – Cümə: 09:00 -17:00
"Gədəbəy şəhəri, Heydər Əliyev prospekti 2A",341,687,2025-03-06T06:13:48.722Z,Ramil Alıyev,aiu0zfuow7ntf1pg9eg4pa5o,,False,False,504,40.525566,az,45.812313,,(+994 12) 493 00 91 |  937,2025-03-06T06:13:48.745Z,Gədəbəy filialı,2025-03-06T06:13:49.634Z,Bazar ertəsi – Cümə: 09:00 -17:00
"Bərdə, Üzeyir Hacıbəyov küçəsi",342,696,2025-03-06T06:13:50.413Z,Tofiq Əlizadə,awuvvaydndradxw27ahddfob,,False,False,510,40.372044,az,47.126541,,(+994 12) 493 00 91 |  937,2025-03-06T06:13:50.430Z,Bərdə filialı,2025-03-06T06:13:51.193Z,Bazar ertəsi – Cümə: 09:00 -17:00
"Tərtər, E.Hüseynov küçəsi 3",343,705,2025-03-06T06:13:52.047Z,Eşqin Hüseynov,fyyr9x79i50vje8s471nlyc2,,False,False,516,40.339886,az,46.932442,,(+994 12) 493 00 91 |  937,2025-03-06T06:13:52.079Z,Tərtər filialı,2025-03-06T06:13:52.888Z,Bazar ertəsi – Cümə: 09:00 -17:00
"Siyəzən şəhəri, Babək küçəsi",325,714,2025-03-06T06:13:53.430Z,Əzməmmədov Gündüz,xltfhvbkxsvm8ribhzgouql7,,False,False,522,41.075969,az,49.113477,,(+994 12) 493 00 91 |  937,2025-03-06T06:13:53.443Z,Siyəzən filialı,2025-03-06T06:13:54.438Z,Bazar ertəsi – Cümə: 09:00 -17:00
"Ucar, Oğuz küç. 44",333,723,2025-03-06T06:13:55.112Z,Fərid Əsgərov,yr6vztmcphsbagmh21e6sist,,False,False,528,40.509697,az,47.65937,,(+994 12) 493 00 91 |  937 |  (+994 20) 213 00 63,2025-03-06T06:13:55.133Z,Ucar filialı,2025-03-06T06:13:56.148Z,Bazar ertəsi – Cümə: 09:00 -17:00
"Hacıqabul, İsmət Qayıbov küçəsi",322,741,2025-03-06T06:13:59.574Z,Elşən Rəsulov,z1v6c3jqk71tpfnvenhulwsz,,False,False,540,40.031333,az,48.935333,,(+994 12) 493 00 91 |  937,2025-03-06T06:13:59.587Z,Hacıqabul filialı,2025-03-06T06:14:00.887Z,Bazar ertəsi – Cümə: 09:00 -17:00
"İmişli, 20 Yanvar küçəsi 17",258,1160,2025-03-06T06:12:45.590Z,Samir İsmayılov,dwz5jq9fo31ttt57xaes2dpo,Həftəsonu işləyən filiallar,False,True,617,39.844395,az,47.986908,,(+994 12) 493 00 91 |  937 |  (+994 21) 246 61 90,2025-09-25T14:56:29.881Z,İmişli filialı,2025-09-25T14:56:29.627Z,Bazar ertəsi – Cümə: 09:00 - 17:00; | Şənbə: 10:00 - 14:00
